id,ranking_score,agent_id,geography_name,sq_meters,price,year_of_construction,floor,subtype,rooms,no_of_bathrooms,no_of_wc,ad_type,living_rooms,kitchens,balcony_area,lux_home,new_development,garage,furnished,preserved,investment,unfinished,heating_under_floor,renovated,requires_renovation,airy,bright,painted,garden,ac,storage,balcony,internal_stairs,view,secure_door,penthouse,alarm,corner,holiday_home,student_home,night_power,neoclassic,double_glass,for_commercial_use,fireplace,elevator,satellite,solar_heater,attic,pool,playroom
42911697,47.0,14680.0,northern sub,567,200000,2005,1,apartment,4,0,0,simple,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
43018583,134.7,15502.0,northern sub,642,550000,1992,0,detached,5,4,1,simple,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1
39670968,71.0,9807.0,northern sub,320,500000,2009,0,detached,2,2,1,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
39740833,122.0,14682.0,northern sub,95,230000,2007,1,apartment,3,1,1,simple,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
39742998,126.7,14682.0,northern sub,195,370000,2007,0,maisonette,4,1,2,simple,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
39813890,133.8,14682.0,northern sub,318,560000,2011,0,detached,6,5,1,simple,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
36078547,116.5,8906.0,northern sub,291,970000,2010,0,maisonette,3,2,1,simple,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
43027442,142.0,14007.0,northern sub,350,550000,1993,0,detached,5,3,2,simple,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0
36152206,154.5,8123.0,northern sub,400,850000,2008,0,detached,6,4,1,simple,2,2,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1
43045884,27.8,11545.0,northern sub,583,220000,0,0,detached,0,0,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
42932512,160.5,8855.0,northern sub,440,1050000,1994,0,detached,4,5,1,simple,2,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1
38815541,127.0,10177.0,northern sub,185,390000,1976,1,apartment,4,1,1,simple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
43208870,124.8,11210.0,northern sub,300,550000,1993,0,detached,5,3,1,simple,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41431871,116.0,10019.0,northern sub,268,420000,2010,0,maisonette,4,2,1,up,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
43226076,144.0,14682.0,northern sub,480,1050000,1995,0,detached,7,6,1,simple,0,2,200,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1
42301798,159.7,8855.0,northern sub,330,500000,2010,0,maisonette,3,2,2,simple,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
42343780,145.5,12423.0,northern sub,270,420000,2012,0,maisonette,4,2,2,simple,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
42344900,144.7,12423.0,northern sub,270,420000,2012,0,maisonette,4,3,1,simple,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1
42344936,148.4,12423.0,northern sub,160,330000,2009,2,maisonette,4,2,1,simple,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
42359374,145.5,11166.0,northern sub,230,370000,2012,0,maisonette,2,3,1,simple,2,2,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1
42359450,100.0,9960.0,northern sub,230,370000,2009,0,maisonette,4,4,1,simple,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1
42361144,156.7,8855.0,northern sub,230,370000,2009,0,maisonette,3,3,1,simple,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
39398538,102.4,9831.0,northern sub,385,650000,1992,0,detached,4,2,2,up,2,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1
41696424,169.5,11404.0,northern sub,330,450000,2010,0,detached,3,2,2,up,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1
39431324,117.4,9252.0,northern sub,185,390000,1976,1,apartment,4,2,1,simple,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
39437349,125.4,10259.0,northern sub,385,700000,1992,0,detached,4,2,2,simple,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
40918888,68.8,8155.0,northern sub,85,200000,1962,0,detached,3,0,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
42381817,140.1,13328.0,northern sub,330,480000,2010,0,detached,3,3,1,simple,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43404007,147.5,11166.0,northern sub,270,460000,1998,0,detached,3,2,1,star,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1
42798649,125.0,12727.0,northern sub,145,300000,2003,0,maisonette,4,1,0,simple,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
42412316,136.4,6037.0,northern sub,230,375000,2010,0,maisonette,4,4,1,simple,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42437080,162.8,16701.0,northern sub,230,370000,2012,-1,maisonette,5,4,2,simple,1,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
34805050,119.2,8253.0,northern sub,450,550000,2009,0,detached,8,4,2,simple,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
42950437,163.5,16559.0,northern sub,330,800000,2006,0,detached,5,4,1,premium,2,2,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1
41930319,143.2,10949.0,northern sub,428,670000,1997,0,detached,4,4,0,premium,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
41959003,162.0,9759.0,northern sub,370,475000,1994,0,detached,4,4,2,simple,2,2,30,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
42961401,116.5,11210.0,northern sub,95,180000,1982,0,detached,1,1,0,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41993358,119.9,15490.0,northern sub,567,180000,2005,0,building,0,0,0,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
